id;titulo;data_de_abertura;status;data_de_fechamento;requerente_id;categoria;localizacao;descricao;atribuido_grupo_tecnico;cidade;responsavel_id;qtd_monitor;cidade_normalizada;cidade_ibge;codigo_ibge
59790;[NOME_REMOVIDO] equipamento: Outros periféricos;14-11-2025 13:22;Fechado;17-11-2025 09:11;USER_b4a0a2d1;SOLICITAÇÃO DE EQUIPAMENTO;SEDE CENTRAL IV;"DADOS DO FORMULÁRIO

LOTAÇÃO:

1) INFORME ONDE VOCÊ ESTÁ LOTADO: : Natal - [NOME_REMOVIDO] [TERMO_INTERNO] - [TERMO_INTERNO]s > [TERMO_INTERNO] [NOME_REMOVIDO] juventude
 

O QUE DESEJA SOLICITAR?

2) SELECIONE: : Outros periféricos
3) [NOME_REMOVIDO]: : Mouse
 

INFORMAÇÕES OBRIGATÓRIAS:

4) TELEFONE DE CONTATO: : [TELEFONE_REMOVIDO]
5) O PEDIDO É DE ACRÉSCIMO OU SUBSTITUIÇÃO? : Substituição
6) [NOME_REMOVIDO]? : Servidor
7) QUANTIDADE DE [NOME_REMOVIDO]: : 1
8) [NOME_REMOVIDO] DE [NOME_REMOVIDO] EQUIPAMENTO: : [NOME_REMOVIDO] maquina: 18735
9) MOTIVAÇÃO: : 
O mouse atual está ''amarrando''.

 

ANEXO:

10) : Nenhum documento anexado";SUPORTE N2;Natal;USER_ed78a147;0;natal;Natal;2408102
59783;[NOME_REMOVIDO] serviços de impressão: Instalar/configurar impressora;14-11-2025 12:54;Em atendimento (atribuído);;USER_dc68af1a;GAU > IMPRESSORA E SERVIÇÕES DE IMPRESSÃO;SEDE CENTRAL II;"DADOS DO FORMULÁRIO

LOTAÇÃO:

1) INFORME ONDE VOCÊ ESTÁ LOTADO: : Natal - [NOME_REMOVIDO] [TERMO_INTERNO] - Administrativos > Assessoria técnica de atendimento ao cidadão
 

[NOME_REMOVIDO] [NOME_REMOVIDO]:

2) SELECIONE: : Instalar/configurar impressora
 

INFORMAÇÕES OBRIGATÓRIAS:

3) [NOME_REMOVIDO]: : 044713
4) TELEFONE DE CONTATO: : [TELEFONE_REMOVIDO]
5) [NOME_REMOVIDO]: : ProXpress M4070FR
 

INFORMAÇÕES ADICIONAIS:

6) A [NOME_REMOVIDO] DE REDE OU USB? : [NOME_REMOVIDO] rede
7) [NOME_REMOVIDO] IP DA IMPRESSORA: : ???/
 

[NOME_REMOVIDO]:

8) TOMBO: : 023558
9) ENDEREÇO IP: : ????
 

ANEXO:

10) : Nenhum documento anexado";SUPORTE N2;Natal;USER_ed78a147;0;natal;Natal;2408102
59768;[NOME_REMOVIDO]: Problema com [NOME_REMOVIDO];14-11-2025 11:59;Fechado;14-11-2025 12:46;USER_ebc2cab4;CERTIFICADO DIGITAL;MOSSORÓ;"DADOS DO FORMULÁRIO

LOTAÇÃO:

1) INFORME ONDE VOCÊ ESTÁ LOTADO: : Mossoró > Promotorias > 13ª [NOME_REMOVIDO] justiça
 

O QUE DESEJA SOLICITAR?

2) SELECIONE: : Problema com [NOME_REMOVIDO]
 

INFORMAÇÕES OBRIGATÓRIAS:

3) TELEFONE DE CONTATO: : [TELEFONE_REMOVIDO]
4) NOME, IP OU [NOME_REMOVIDO] PROBLEMA: : 048078
5) DESCRIÇÃO DO PROBLEMA: : 
[NOME_REMOVIDO] férias e ao retornar não consigo utilizar o certificado digital para assinar documentos fora do eMP e do [TERMO_INTERNO], ou seja, não consigo assinar diretamente no documento em PDF como sempre fiz.

 

ANEXO:

6) : Nenhum documento anexado";SUPORTE N2;Mossoró;USER_ca7ca1e2;0;mossoro;Mossoró;2408003
59731;Suporte à estação de trabalho: Problema - Computador;14-11-2025 10:37;Em atendimento (atribuído);;USER_21c9c682;SUPORTE À ESTAÇÃO;SÃO GONÇALO;"DADOS DO FORMULÁRIO

LOTAÇÃO:

1) INFORME ONDE VOCÊ ESTÁ LOTADO: : [NOME_REMOVIDO]
 

O QUE DESEJA SOLICITAR?

2) SELECIONE : Problema - Computador
 

INFORMAÇÕES OBRIGATÓRIAS:

3) TELEFONE PARA CONTATO: : [TELEFONE_REMOVIDO]
4) NOME OU ENDEREÇO IP DA ESTAÇÃO DE TRABALHO ([NOME_REMOVIDO], [NOME_REMOVIDO]): : 46428
5) DESCRIÇÃO DO PROBLEMA: : 
Computador não liga

6) INFORMAÇÕES ADICIONAIS : 
 

ANEXO:

7) : Nenhum documento anexado";SUPORTE N2;São Gonçalo;USER_c3d41bf5;0;sao goncalo do amarante;São Gonçalo do Amarante;2412005
59728;Suporte à estação de trabalho: Problema - Computador;14-11-2025 10:36;Em atendimento (atribuído);;USER_21c9c682;SUPORTE À ESTAÇÃO;SÃO GONÇALO;"DADOS DO FORMULÁRIO

LOTAÇÃO:

1) INFORME ONDE VOCÊ ESTÁ LOTADO: : [NOME_REMOVIDO]
 

O QUE DESEJA SOLICITAR?

2) SELECIONE : Problema - Computador
 

INFORMAÇÕES OBRIGATÓRIAS:

3) TELEFONE PARA CONTATO: : [TELEFONE_REMOVIDO]
4) NOME OU ENDEREÇO IP DA ESTAÇÃO DE TRABALHO ([NOME_REMOVIDO], [NOME_REMOVIDO]): : 18766
5) DESCRIÇÃO DO PROBLEMA: : 
problema na placa de vídeo, não tem sinal no monitor.Trocado cabo de monitar mas não dá sinal no monitor.

6) INFORMAÇÕES ADICIONAIS : 
 

ANEXO:

7) : Nenhum documento anexado";SUPORTE N2;São Gonçalo;USER_c3d41bf5;0;sao goncalo do amarante;São Gonçalo do Amarante;2412005
59714;Suporte à estação de trabalho: [NOME_REMOVIDO] informação/orientação;14-11-2025 10:08;Em atendimento (atribuído);;USER_b59eeaab;SUPORTE À ESTAÇÃO;SEDE CENTRAL II;"DADOS DO FORMULÁRIO

LOTAÇÃO:

1) INFORME ONDE VOCÊ ESTÁ LOTADO: : Natal - [NOME_REMOVIDO] [TERMO_INTERNO] - Administrativos > [NOME_REMOVIDO] infraestrutura de TI
 

O QUE DESEJA SOLICITAR?

2) SELECIONE : [NOME_REMOVIDO] informação/orientação
 

INFORMAÇÕES OBRIGATÓRIAS:

3) TELEFONE PARA CONTATO: : [TELEFONE_REMOVIDO]
4) DÚVIDA/SOLICITAÇÃO DE INFORMAÇÃO: : 
Bom dia,

Solicito, se possível, a instalação de uma placa de Rede no PC de meu uso, DEVIDO À necessidade de configurações de roteadores e Switches, onde tenho que tirar o PC da rede do [TERMO_INTERNO] para conectar ao equipamento em que vou configurar, causando assim a INTERRUPÇÃO da conexão com a rede do MP.

Com uma placa de rede adicional no PC, conseguirei configurar outros dispositivos sem interromper a conexão com a rede interna.";SUPORTE N2;Natal;USER_ed78a147;0;natal;Natal;2408102
59712;Suporte à estação de trabalho: Problema - Computador;14-11-2025 10:04;Em atendimento (atribuído);;USER_5f93402d;SUPORTE À ESTAÇÃO;MACAU;"DADOS DO FORMULÁRIO

LOTAÇÃO:

1) INFORME ONDE VOCÊ ESTÁ LOTADO: : Macau > Secretaria administrativa 1-2
 

O QUE DESEJA SOLICITAR?

2) SELECIONE : Problema - Computador
 

INFORMAÇÕES OBRIGATÓRIAS:

3) TELEFONE PARA CONTATO: : [TELEFONE_REMOVIDO]
4) NOME OU ENDEREÇO IP DA ESTAÇÃO DE TRABALHO ([NOME_REMOVIDO], [NOME_REMOVIDO]): : 018918
5) DESCRIÇÃO DO PROBLEMA: : 
o computador não esta ligando.

6) INFORMAÇÕES ADICIONAIS : 
 

ANEXO:

7) : Nenhum documento anexado";SUPORTE N2;Macau;USER_c3d41bf5;0;macau;Macau;2407203
59710;Sistemas: [TERMO_INTERNO];14-11-2025 10:02;Pendente;;USER_0c66a9e0;SISTEMAS;NATAL;"DADOS DO FORMULÁRIO

LOTAÇÃO:

1) INFORME ONDE VOCÊ ESTÁ LOTADO: : Natal
2) CARGO: : Tecnica 
 

DE [NOME_REMOVIDO]?

3) SELECIONE: : [TERMO_INTERNO]
 

O QUE DESEJA SOLICITAR?

4) SELECIONE: : [NOME_REMOVIDO] sistema
 

INFORMAÇÕES OBRIGATÓRIAS:

5) TELEFONE PARA CONTATO: : [TELEFONE_REMOVIDO]
6) DESCRIÇÃO DO PROBLEMA/DÚVIDA: : 
A usuária informa que está de casa em um computador pessoal, e não está conseguindo acessar a [TERMO_INTERNO], mesmo com a [TERMO_INTERNO] ativada.

 

ANEXO:

7) : Nenhum documento anexado";SUPORTE N1;Natal;USER_ed78a147;0;natal;Natal;2408102
59702;Rede, [TERMO_INTERNO] e Internet: [NOME_REMOVIDO] AD;14-11-2025 09:50;Fechado;14-11-2025 10:00;USER_92bfa1a9;REDE E INTERNET;SEDE CENTRAL II;"DADOS DO FORMULÁRIO

LOTAÇÃO:

1) INFORME ONDE VOCÊ ESTÁ LOTADO: : Natal - [NOME_REMOVIDO] [TERMO_INTERNO] - Administrativos > [NOME_REMOVIDO] atendimento ao [LOGIN_REMOVIDO]?

2) SELECIONE: : [NOME_REMOVIDO] AD
 

INFORMAÇÕES OBRIGATÓRIAS:

3) QUANTIDADE DE [NOME_REMOVIDO]: : Um
 

INFORMAÇÕES OBRIGATÓRIAS [NOME_REMOVIDO]:

4) [NOME_REMOVIDO] 1º MICROCOMPUTADOR: : 023540
5) INFORMAÇÕES ADICIONAIS: : 
Solicito a remoção, pois o equipamento precisou ser formatado e é necessário coloca-lo novamente no Domínio, em Natal.

 

ANEXO:

6) : Nenhum documento anexado";SUPORTE N1;Natal;USER_ed78a147;0;natal;Natal;2408102
59694;E-mail Institucional: Problema - E-mail institucional;14-11-2025 09:32;Fechado;14-11-2025 09:47;USER_bab530cd;DINFRA > E-MAIL INSTITUICIONAL;CRUZETA;"DADOS DO FORMULÁRIO

LOTAÇÃO:

1) INFORME ONDE VOCÊ ESTÁ LOTADO: : Cruzeta
 

O QUE DESEJA SOLICITAR?

2) SELECIONE : Problema - E-mail institucional
 

INFORMAÇÕES OBRIGATÓRIAS:

3) [NOME_REMOVIDO] DE E-MAIL: : [EMAIL_REMOVIDO]
4) TELEFONE DE CONTATO: : [TELEFONE_REMOVIDO]
5) DESCRIÇÃO DO PROBLEMA/DÚVIDA: : 
Não estamos recebendo os e-mail da [NOME_REMOVIDO] ([EMAIL_REMOVIDO]), eles recebem nossos e-mails, mas não recebemos os e-mails deles, inclusive eles nos encaminham prints com as respostas.

 

ANEXO:

6) : Documento anexado";SUPORTE N1;Cruzeta;USER_6fed7464;0;cruzeta;Cruzeta;2403004
59681;Suporte à estação de trabalho: Problema - Computador;14-11-2025 09:16;Em atendimento (atribuído);;USER_ec03e81b;SUPORTE À ESTAÇÃO;SEDE CENTRAL I;"DADOS DO FORMULÁRIO

LOTAÇÃO:

1) INFORME ONDE VOCÊ ESTÁ LOTADO: : Natal - [NOME_REMOVIDO] [TERMO_INTERNO] > Coordenadoria jurídica judicial
 

O QUE DESEJA SOLICITAR?

2) SELECIONE : Problema - Computador
 

INFORMAÇÕES OBRIGATÓRIAS:

3) TELEFONE PARA CONTATO: : [TELEFONE_REMOVIDO]
4) NOME OU ENDEREÇO IP DA ESTAÇÃO DE TRABALHO ([NOME_REMOVIDO], [NOME_REMOVIDO]): : 019859
5) DESCRIÇÃO DO PROBLEMA: : 
Solicito a substituição do monitor utilizado no computador da [NOME_REMOVIDO]-[NOME_REMOVIDO], em razão de oscilações de cor que vêm comprometendo o uso adequado do equipamento.

Registra-se que o técnico de TI já esteve no local, realizou os testes necessários (incluindo a troca de cabos e demais verificações), constatando que o problema é efetivamente na tela do monitor, e não nos cabos ou na máquina.

 

6) INFORMAÇÕES ADICIONAIS : 
 

ANEXO:

7) : Nenhum documento anexado";SUPORTE N2;Natal;USER_ed78a147;0;natal;Natal;2408102
59680;[NOME_REMOVIDO] serviços de impressão: Instalar/configurar impressora;14-11-2025 09:13;Fechado;14-11-2025 09:28;USER_e8a3fdbf;GAU > IMPRESSORA E SERVIÇÕES DE IMPRESSÃO;NISIA FLORESTA;"DADOS DO FORMULÁRIO

LOTAÇÃO:

1) INFORME ONDE VOCÊ ESTÁ LOTADO: : [NOME_REMOVIDO] > [NOME_REMOVIDO] justiça
 

[NOME_REMOVIDO] [NOME_REMOVIDO]:

2) SELECIONE: : Instalar/configurar impressora
 

INFORMAÇÕES OBRIGATÓRIAS:

3) [NOME_REMOVIDO]: : 027294
4) TELEFONE DE CONTATO: : [TELEFONE_REMOVIDO]
5) [NOME_REMOVIDO]: : SAMSUNG M4020ND
 

INFORMAÇÕES ADICIONAIS:

6) A [NOME_REMOVIDO] DE REDE OU USB? : [NOME_REMOVIDO] IMPRESSORA:

7) TOMBO: : 018953
8) ENDEREÇO IP: : [IP_REMOVIDO]
 

ANEXO:

9) : Nenhum documento anexado";SUPORTE N1;Nisia Floresta;USER_af9ff9d4;0;nisia floresta;Nísia Floresta;2408201
59656;[NOME_REMOVIDO] equipamento: Monitor;14-11-2025 08:25;Pendente;;USER_dc18b7d2;SOLICITAÇÃO DE EQUIPAMENTO;SEDE CENTRAL II;"DADOS DO FORMULÁRIO

LOTAÇÃO:

1) INFORME ONDE VOCÊ ESTÁ LOTADO: : Natal - [NOME_REMOVIDO] [TERMO_INTERNO] - Administrativos > [NOME_REMOVIDO] comunicação
 

O QUE DESEJA SOLICITAR?

2) SELECIONE: : Monitor
 

INFORMAÇÕES OBRIGATÓRIAS:

3) TELEFONE DE CONTATO: : [TELEFONE_REMOVIDO]
4) O PEDIDO É DE ACRÉSCIMO OU SUBSTITUIÇÃO? : Substituição
5) [NOME_REMOVIDO]? : Servidor
6) QUANTIDADE DE [NOME_REMOVIDO]: : 1
7) [NOME_REMOVIDO] DE [NOME_REMOVIDO] EQUIPAMENTO: : T 019143
8) O [NOME_REMOVIDO] O EQUIPAMENTO É DO [NOME_REMOVIDO] OU ANTIGO? : Novo
9) MOTIVAÇÃO: : 
 

Monitor não está ligando.

 

ANEXO:

10) : Nenhum documento anexado";SUPORTE N2;Natal;USER_ed78a147;0;natal;Natal;2408102
59645;Suporte em eventos: [NOME_REMOVIDO] suporte em evento;14-11-2025 08:01;Em atendimento (atribuído);;USER_d87b1310;SUPORTE EM EVENTOS;SEDE ADMINISTRATIVA III;"DADOS DO FORMULÁRIO

LOTAÇÃO:

1) INFORME ONDE VOCÊ ESTÁ LOTADO: : Natal - ANEXO II(Militão) > CEAF - Setor técnico-pedagógico
 

INFORMAÇÕES OBRIGATÓRIAS:

2) SOLICITANTE: : [NOME_REMOVIDO]
3) [NOME_REMOVIDO]: : [NOME_REMOVIDO] de Iniciativas com o uso de IA no [NOME_REMOVIDO]
4) DATA E [NOME_REMOVIDO]: : 19-11-2025 08:30
5) DATA E [NOME_REMOVIDO]: : 19-11-2025 12:30
6) [NOME_REMOVIDO]: : [NOME_REMOVIDO] de Natal - Candelária
7) [NOME_REMOVIDO] O EVENTO: : 

Projetor multimídia, passador de slides e pessoal para acompanhar o evento.

 

ANEXO:

8) : Nenhum documento anexado";SUPORTE N2;Natal;USER_ed78a147;0;natal;Natal;2408102
